year,month,day,hour,minute,second,xlsdatenum
1990,1,13,2,0,0,32886.08333
1990,1,13,3,0,0,32886.125
1990,1,13,4,0,0,32886.16667
1990,1,13,5,0,0,32886.20833
1990,1,13,6,0,0,32886.25
1990,1,13,7,0,0,32886.29167
1990,1,13,8,0,0,32886.33333
1990,1,13,9,0,0,32886.375
1990,1,13,10,0,0,32886.41667
1990,1,13,11,0,0,32886.45833
1990,1,13,12,0,0,32886.5
1990,1,13,13,0,0,32886.54167
1990,1,13,14,0,0,32886.58333
1990,1,13,15,0,0,32886.625
1990,1,13,16,0,0,32886.66667
1990,1,13,17,0,0,32886.70833
1990,1,13,18,0,0,32886.75
1990,1,13,19,0,0,32886.79167
1990,1,13,20,0,0,32886.83333
1990,1,13,21,0,0,32886.875
1990,1,13,22,0,0,32886.91667
1990,1,13,23,0,0,32886.95833
1990,1,14,0,0,0,32887
1990,1,14,1,0,0,32887.04167
1990,1,14,2,0,0,32887.08333
1990,1,14,3,0,0,32887.125
1990,1,14,4,0,0,32887.16667
1990,1,14,5,0,0,32887.20833
1990,1,14,6,0,0,32887.25
1990,1,14,7,0,0,32887.29167
1990,1,14,8,0,0,32887.33333
1990,1,14,9,0,0,32887.375
1990,1,14,10,0,0,32887.41667
1990,1,14,11,0,0,32887.45833
1990,1,14,12,0,0,32887.5
1990,1,14,13,0,0,32887.54167
1990,1,14,14,0,0,32887.58333
1990,1,14,15,0,0,32887.625
1990,1,14,16,0,0,32887.66667
1990,1,14,17,0,0,32887.70833
1990,1,14,18,0,0,32887.75
1990,1,14,19,0,0,32887.79167
1990,1,14,20,0,0,32887.83333
1990,1,14,21,0,0,32887.875
1990,1,14,22,0,0,32887.91667
1990,1,14,23,0,0,32887.95833
1990,1,15,0,0,0,32888
1990,1,15,1,0,0,32888.04167
1990,1,15,2,0,0,32888.08333
1990,1,15,3,0,0,32888.125
1990,1,15,4,0,0,32888.16667
1990,1,15,5,0,0,32888.20833
1990,1,15,6,0,0,32888.25
1990,1,15,7,0,0,32888.29167
1990,1,15,8,0,0,32888.33333
1990,1,15,9,0,0,32888.375
1990,1,15,10,0,0,32888.41667
1990,1,15,11,0,0,32888.45833
1990,1,15,12,0,0,32888.5
1990,1,15,13,0,0,32888.54167
1990,1,15,14,0,0,32888.58333
1990,1,15,15,0,0,32888.625
1990,1,15,16,0,0,32888.66667
1990,1,15,17,0,0,32888.70833
1990,1,15,18,0,0,32888.75
1990,1,15,19,0,0,32888.79167
1990,1,15,20,0,0,32888.83333
1990,1,15,21,0,0,32888.875
1990,1,15,22,0,0,32888.91667
1990,1,15,23,0,0,32888.95833
1990,1,16,0,0,0,32889
1990,1,16,1,0,0,32889.04167
1990,1,16,2,0,0,32889.08333
1990,1,16,3,0,0,32889.125
1990,1,16,4,0,0,32889.16667
1990,1,16,5,0,0,32889.20833
1990,1,16,6,0,0,32889.25
1990,1,16,7,0,0,32889.29167
1990,1,16,8,0,0,32889.33333
1990,1,16,9,0,0,32889.375
1990,1,16,10,0,0,32889.41667
1990,1,16,11,0,0,32889.45833
1990,1,16,12,0,0,32889.5
1990,1,16,13,0,0,32889.54167
1990,1,16,14,0,0,32889.58333
1990,1,16,15,0,0,32889.625
1990,1,16,16,0,0,32889.66667
1990,1,16,17,0,0,32889.70833
1990,1,16,18,0,0,32889.75
1990,1,16,19,0,0,32889.79167
1990,1,16,20,0,0,32889.83333
1990,1,16,21,0,0,32889.875
1990,1,16,22,0,0,32889.91667
1990,1,16,23,0,0,32889.95833
1990,1,17,0,0,0,32890
1990,1,17,1,0,0,32890.04167
1990,1,17,2,0,0,32890.08333
1990,1,17,3,0,0,32890.125
1990,1,17,4,0,0,32890.16667
1990,1,17,5,0,0,32890.20833
1990,1,17,6,0,0,32890.25
1990,1,17,7,0,0,32890.29167
1990,1,17,8,0,0,32890.33333
1990,1,17,9,0,0,32890.375
1990,1,17,10,0,0,32890.41667
1990,1,17,11,0,0,32890.45833
1990,1,17,12,0,0,32890.5
1990,1,17,13,0,0,32890.54167
1990,1,17,14,0,0,32890.58333
1990,1,17,15,0,0,32890.625
1990,1,17,16,0,0,32890.66667
1990,1,17,17,0,0,32890.70833
1990,1,17,18,0,0,32890.75
1990,1,17,19,0,0,32890.79167
1990,1,17,20,0,0,32890.83333
1990,1,17,21,0,0,32890.875
1990,1,17,22,0,0,32890.91667
1990,1,17,23,0,0,32890.95833
1990,1,18,0,0,0,32891
1990,1,18,1,0,0,32891.04167
1990,1,18,2,0,0,32891.08333
1990,1,18,3,0,0,32891.125
1990,1,18,4,0,0,32891.16667
1990,1,18,5,0,0,32891.20833
1990,1,18,6,0,0,32891.25
1990,1,18,7,0,0,32891.29167
1990,1,18,8,0,0,32891.33333
1990,1,18,9,0,0,32891.375
1990,1,18,10,0,0,32891.41667
1990,1,18,11,0,0,32891.45833
1990,1,18,12,0,0,32891.5
1990,1,18,13,0,0,32891.54167
1990,1,18,14,0,0,32891.58333
1990,1,18,15,0,0,32891.625
1990,1,18,16,0,0,32891.66667
1990,1,18,17,0,0,32891.70833
1990,1,18,18,0,0,32891.75
1990,1,18,19,0,0,32891.79167
1990,1,18,20,0,0,32891.83333
1990,1,18,21,0,0,32891.875
1990,1,18,22,0,0,32891.91667
1990,1,18,23,0,0,32891.95833
1990,1,19,0,0,0,32892
1990,1,19,1,0,0,32892.04167
1990,1,19,2,0,0,32892.08333
1990,1,19,3,0,0,32892.125
1990,1,19,4,0,0,32892.16667
1990,1,19,5,0,0,32892.20833
1990,1,19,6,0,0,32892.25
1990,1,19,7,0,0,32892.29167
1990,1,19,8,0,0,32892.33333
1990,1,19,9,0,0,32892.375
1990,1,19,10,0,0,32892.41667
1990,1,19,11,0,0,32892.45833
1990,1,19,12,0,0,32892.5
1990,1,19,13,0,0,32892.54167
1990,1,19,14,0,0,32892.58333
1990,1,19,15,0,0,32892.625
1990,1,19,16,0,0,32892.66667
1990,1,19,17,0,0,32892.70833
1990,1,19,18,0,0,32892.75
1990,1,19,19,0,0,32892.79167
1990,1,19,20,0,0,32892.83333
1990,1,19,21,0,0,32892.875
1990,1,19,22,0,0,32892.91667
1990,1,19,23,0,0,32892.95833
1990,1,20,0,0,0,32893
1990,1,20,1,0,0,32893.04167
1990,1,20,2,0,0,32893.08333
1990,1,20,3,0,0,32893.125
1990,1,20,4,0,0,32893.16667
1990,1,20,5,0,0,32893.20833
1990,1,20,6,0,0,32893.25
1990,1,20,7,0,0,32893.29167
1990,1,20,8,0,0,32893.33333
1990,1,20,9,0,0,32893.375
1990,1,20,10,0,0,32893.41667
1990,1,20,11,0,0,32893.45833
1990,1,20,12,0,0,32893.5
1990,1,20,13,0,0,32893.54167
1990,1,20,14,0,0,32893.58333
1990,1,20,15,0,0,32893.625
1990,1,20,16,0,0,32893.66667
1990,1,20,17,0,0,32893.70833
1990,1,20,18,0,0,32893.75
1990,1,20,19,0,0,32893.79167
1990,1,20,20,0,0,32893.83333
1990,1,20,21,0,0,32893.875
1990,1,20,22,0,0,32893.91667
1990,1,20,23,0,0,32893.95833
1990,1,21,0,0,0,32894
1990,1,21,1,0,0,32894.04167
1990,1,21,2,0,0,32894.08333
1990,1,21,3,0,0,32894.125
1990,1,21,4,0,0,32894.16667
1990,1,21,5,0,0,32894.20833
1990,1,21,6,0,0,32894.25
1990,1,21,7,0,0,32894.29167
1990,1,21,8,0,0,32894.33333
1990,1,21,9,0,0,32894.375
1990,1,21,10,0,0,32894.41667
1990,1,21,11,0,0,32894.45833
1990,1,21,12,0,0,32894.5
1990,1,21,13,0,0,32894.54167
1990,1,21,14,0,0,32894.58333
1990,1,21,15,0,0,32894.625
1990,1,21,16,0,0,32894.66667
1990,1,21,17,0,0,32894.70833
1990,1,21,18,0,0,32894.75
1990,1,21,19,0,0,32894.79167
1990,1,21,20,0,0,32894.83333
1990,1,21,21,0,0,32894.875
1990,1,21,22,0,0,32894.91667
1990,1,21,23,0,0,32894.95833
1990,1,22,0,0,0,32895
1990,1,22,1,0,0,32895.04167
1990,1,22,2,0,0,32895.08333
1990,1,22,3,0,0,32895.125
1990,1,22,4,0,0,32895.16667
1990,1,22,5,0,0,32895.20833
1990,1,22,6,0,0,32895.25
1990,1,22,7,0,0,32895.29167
1990,1,22,8,0,0,32895.33333
1990,1,22,9,0,0,32895.375
1990,1,22,10,0,0,32895.41667
1990,1,22,11,0,0,32895.45833
1990,1,22,12,0,0,32895.5
1990,1,22,13,0,0,32895.54167
1990,1,22,14,0,0,32895.58333
1990,1,22,15,0,0,32895.625
1990,1,22,16,0,0,32895.66667
1990,1,22,17,0,0,32895.70833
1990,1,22,18,0,0,32895.75
1990,1,22,19,0,0,32895.79167
1990,1,22,20,0,0,32895.83333
1990,1,22,21,0,0,32895.875
1990,1,22,22,0,0,32895.91667
1990,1,22,23,0,0,32895.95833
1990,1,23,0,0,0,32896
1990,1,23,1,0,0,32896.04167
1990,1,23,2,0,0,32896.08333
1990,1,23,3,0,0,32896.125
1990,1,23,4,0,0,32896.16667
1990,1,23,5,0,0,32896.20833
1990,1,23,6,0,0,32896.25
1990,1,23,7,0,0,32896.29167
1990,1,23,8,0,0,32896.33333
1990,1,23,9,0,0,32896.375
1990,1,23,10,0,0,32896.41667
1990,1,23,11,0,0,32896.45833
1990,1,23,12,0,0,32896.5
1990,1,23,13,0,0,32896.54167
1990,1,23,14,0,0,32896.58333
1990,1,23,15,0,0,32896.625
1990,1,23,16,0,0,32896.66667
1990,1,23,17,0,0,32896.70833
1990,1,23,18,0,0,32896.75
1990,1,23,19,0,0,32896.79167
1990,1,23,20,0,0,32896.83333
1990,1,23,21,0,0,32896.875
1990,1,23,22,0,0,32896.91667
1990,1,23,23,0,0,32896.95833
1990,1,24,0,0,0,32897
1990,1,24,1,0,0,32897.04167
1990,1,24,2,0,0,32897.08333
1990,1,24,3,0,0,32897.125
1990,1,24,4,0,0,32897.16667
1990,1,24,5,0,0,32897.20833
1990,1,24,6,0,0,32897.25
1990,1,24,7,0,0,32897.29167
1990,1,24,8,0,0,32897.33333
1990,1,24,9,0,0,32897.375
1990,1,24,10,0,0,32897.41667
1990,1,24,11,0,0,32897.45833
1990,1,24,12,0,0,32897.5
1990,1,24,13,0,0,32897.54167
1990,1,24,14,0,0,32897.58333
1990,1,24,15,0,0,32897.625
1990,1,24,16,0,0,32897.66667
1990,1,24,17,0,0,32897.70833
1990,1,24,18,0,0,32897.75
1990,1,24,19,0,0,32897.79167
1990,1,24,20,0,0,32897.83333
1990,1,24,21,0,0,32897.875
1990,1,24,22,0,0,32897.91667
1990,1,24,23,0,0,32897.95833
1990,1,25,0,0,0,32898
1990,1,25,1,0,0,32898.04167
1990,1,25,2,0,0,32898.08333
1990,1,25,3,0,0,32898.125
1990,1,25,4,0,0,32898.16667
1990,1,25,5,0,0,32898.20833
1990,1,25,6,0,0,32898.25
1990,1,25,7,0,0,32898.29167
1990,1,25,8,0,0,32898.33333
1990,1,25,9,0,0,32898.375
1990,1,25,10,0,0,32898.41667
1990,1,25,11,0,0,32898.45833
1990,1,25,12,0,0,32898.5
1990,1,25,13,0,0,32898.54167
1990,1,25,14,0,0,32898.58333
1990,1,25,15,0,0,32898.625
1990,1,25,16,0,0,32898.66667
1990,1,25,17,0,0,32898.70833
1990,1,25,18,0,0,32898.75
1990,1,25,19,0,0,32898.79167
1990,1,25,20,0,0,32898.83333
1990,1,25,21,0,0,32898.875
1990,1,25,22,0,0,32898.91667
1990,1,25,23,0,0,32898.95833
1990,1,26,0,0,0,32899
1990,1,26,1,0,0,32899.04167
1990,1,26,2,0,0,32899.08333
1990,1,26,3,0,0,32899.125
1990,1,26,4,0,0,32899.16667
1990,1,26,5,0,0,32899.20833
1990,1,26,6,0,0,32899.25
1990,1,26,7,0,0,32899.29167
1990,1,26,8,0,0,32899.33333
1990,1,26,9,0,0,32899.375
1990,1,26,10,0,0,32899.41667
1990,1,26,11,0,0,32899.45833
1990,1,26,12,0,0,32899.5
1990,1,26,13,0,0,32899.54167
1990,1,26,14,0,0,32899.58333
1990,1,26,15,0,0,32899.625
1990,1,26,16,0,0,32899.66667
1990,1,26,17,0,0,32899.70833
1990,1,26,18,0,0,32899.75
1990,1,26,19,0,0,32899.79167
1990,1,26,20,0,0,32899.83333
1990,1,26,21,0,0,32899.875
1990,1,26,22,0,0,32899.91667
1990,1,26,23,0,0,32899.95833
1990,1,27,0,0,0,32900
1990,1,27,1,0,0,32900.04167
1990,1,27,2,0,0,32900.08333
1990,1,27,3,0,0,32900.125
1990,1,27,4,0,0,32900.16667
1990,1,27,5,0,0,32900.20833
1990,1,27,6,0,0,32900.25
1990,1,27,7,0,0,32900.29167
1990,1,27,8,0,0,32900.33333
1990,1,27,9,0,0,32900.375
1990,1,27,10,0,0,32900.41667
1990,1,27,11,0,0,32900.45833
1990,1,27,12,0,0,32900.5
1990,1,27,13,0,0,32900.54167
1990,1,27,14,0,0,32900.58333
1990,1,27,15,0,0,32900.625
1990,1,27,16,0,0,32900.66667
1990,1,27,17,0,0,32900.70833
1990,1,27,18,0,0,32900.75
1990,1,27,19,0,0,32900.79167
1990,1,27,20,0,0,32900.83333
1990,1,27,21,0,0,32900.875
1990,1,27,22,0,0,32900.91667
1990,1,27,23,0,0,32900.95833
1990,1,28,0,0,0,32901
1990,1,28,1,0,0,32901.04167
1990,1,28,2,0,0,32901.08333
1990,1,28,3,0,0,32901.125
1990,1,28,4,0,0,32901.16667
1990,1,28,5,0,0,32901.20833
1990,1,28,6,0,0,32901.25
1990,1,28,7,0,0,32901.29167
1990,1,28,8,0,0,32901.33333
1990,1,28,9,0,0,32901.375
1990,1,28,10,0,0,32901.41667
1990,1,28,11,0,0,32901.45833
1990,1,28,12,0,0,32901.5
1990,1,28,13,0,0,32901.54167
1990,1,28,14,0,0,32901.58333
1990,1,28,15,0,0,32901.625
1990,1,28,16,0,0,32901.66667
1990,1,28,17,0,0,32901.70833
1990,1,28,18,0,0,32901.75
1990,1,28,19,0,0,32901.79167
1990,1,28,20,0,0,32901.83333
1990,1,28,21,0,0,32901.875
1990,1,28,22,0,0,32901.91667
1990,1,28,23,0,0,32901.95833
1990,1,29,0,0,0,32902
1990,1,29,1,0,0,32902.04167
1990,1,29,2,0,0,32902.08333
1990,1,29,3,0,0,32902.125
1990,1,29,4,0,0,32902.16667
1990,1,29,5,0,0,32902.20833
1990,1,29,6,0,0,32902.25
1990,1,29,7,0,0,32902.29167
1990,1,29,8,0,0,32902.33333
1990,1,29,9,0,0,32902.375
1990,1,29,10,0,0,32902.41667
1990,1,29,11,0,0,32902.45833
1990,1,29,12,0,0,32902.5
1990,1,29,13,0,0,32902.54167
1990,1,29,14,0,0,32902.58333
1990,1,29,15,0,0,32902.625
1990,1,29,16,0,0,32902.66667
1990,1,29,17,0,0,32902.70833
1990,1,29,18,0,0,32902.75
1990,1,29,19,0,0,32902.79167
1990,1,29,20,0,0,32902.83333
1990,1,29,21,0,0,32902.875
1990,1,29,22,0,0,32902.91667
1990,1,29,23,0,0,32902.95833
1990,1,30,0,0,0,32903
1990,1,30,1,0,0,32903.04167
1990,1,30,2,0,0,32903.08333
1990,1,30,3,0,0,32903.125
1990,1,30,4,0,0,32903.16667
1990,1,30,5,0,0,32903.20833
1990,1,30,6,0,0,32903.25
1990,1,30,7,0,0,32903.29167
1990,1,30,8,0,0,32903.33333
1990,1,30,9,0,0,32903.375
1990,1,30,10,0,0,32903.41667
1990,1,30,11,0,0,32903.45833
1990,1,30,12,0,0,32903.5
1990,1,30,13,0,0,32903.54167
1990,1,30,14,0,0,32903.58333
1990,1,30,15,0,0,32903.625
1990,1,30,16,0,0,32903.66667
1990,1,30,17,0,0,32903.70833
1990,1,30,18,0,0,32903.75
1990,1,30,19,0,0,32903.79167
1990,1,30,20,0,0,32903.83333
1990,1,30,21,0,0,32903.875
1990,1,30,22,0,0,32903.91667
1990,1,30,23,0,0,32903.95833
1990,1,31,0,0,0,32904
1990,1,31,1,0,0,32904.04167
1990,1,31,2,0,0,32904.08333
1990,1,31,3,0,0,32904.125
1990,1,31,4,0,0,32904.16667
1990,1,31,5,0,0,32904.20833
1990,1,31,6,0,0,32904.25
1990,1,31,7,0,0,32904.29167
1990,1,31,8,0,0,32904.33333
1990,1,31,9,0,0,32904.375
1990,1,31,10,0,0,32904.41667
1990,1,31,11,0,0,32904.45833
1990,1,31,12,0,0,32904.5
1990,1,31,13,0,0,32904.54167
1990,1,31,14,0,0,32904.58333
1990,1,31,15,0,0,32904.625
1990,1,31,16,0,0,32904.66667
1990,1,31,17,0,0,32904.70833
1990,1,31,18,0,0,32904.75
1990,1,31,19,0,0,32904.79167
1990,1,31,20,0,0,32904.83333
1990,1,31,21,0,0,32904.875
1990,1,31,22,0,0,32904.91667
1990,1,31,23,0,0,32904.95833
1990,2,1,0,0,0,32905
1990,2,1,1,0,0,32905.04167
1990,2,1,2,0,0,32905.08333
1990,2,1,3,0,0,32905.125
1990,2,1,4,0,0,32905.16667
